quote_id,degree_id,code
487,87,Interdisciplinary
487,87,Impact
1967,87,Industry
1304,87,Mission
1607,87,Target group
1646,87,Impact
991,87,Courses
1468,87,Ethical issues
1468,87,Law-policy
2054,90,Courses
2835,90,Impact
2835,90,Mission
2975,90,[??]
2836,90,Courses
1359,89,Mission
312,89,Courses
702,91,Definition
3317,91,Mission
3321,91,Skills
2874,94,Mission
1154,94,Mission
1325,94,Mission
1303,94,Jobs
1343,94,Courses
1469,94,Law-policy
2797,97,Mission
3327,97,Impact
1911,97,Skills
1246,97,Courses
2347,97,Requirements
1594,99,Courses
325,99,Requirements
272,99,Mission
842,100,Courses
1138,100,Skills
3248,100,Impact
1452,100,Target group
511,100,[??]
1234,100,Impact
2254,88,Skills
749,88,Courses
419,88,Courses
1697,88,Courses
2141,88,Courses
2143,88,Courses
676,88,Courses
2020,102,Mission
1874,102,Jobs
658,102,Skills
1991,102,Industry
2047,102,Courses
2703,103,Mission
2703,103,Interdisciplinary
1378,103,Interdisciplinary
1378,103,Industry
2342,103,Industry
2342,103,Interdisciplinary
2342,103,Skills
1601,103,Impact
3329,103,Skills
3329,103,Impact
1761,103,Courses
1761,103,Requirements
304,104,Courses
3299,104,Target group
3047,104,Impact
3047,104,Mission
2596,104,Fluff
1379,104,Fluff
1979,105,Requirements
431,105,Courses
816,105,Courses
1741,105,Courses
2130,105,Courses
2200,105,Courses
3063,105,Mission
2350,105,Requirements
2287,105,Requirements
2318,105,Requirements
2183,107,Courses
2991,107,Tools
2707,107,Mission
2190,107,Skills
2190,107,Tools
524,107,Skills
2376,108,Target group
3058,108,Mission
3110,108,Skills
2333,108,Tools
2716,108,Mission
987,108,Industry
2277,108,Skills
3110,108,Tools
593,108,Requirements
593,108,Courses
590,108,Ethical issues
3060,110,Target group
3060,110,Mission
3060,110,Impact
2272,110,Jobs
2272,110,Skills
2272,110,Impact
2892,110,Industry
1920,110,Courses
1920,110,Ethical issues
1920,110,[!!]
1920,110,Broader impact
915,110,Skills
915,110,Courses
2577,110,Requirements
1631,110,Ethical issues
1631,110,Courses
1630,110,Courses
3269,110,Skills
1632,110,Courses
1632,110,Ethical issues
2323,110,Ethical issues
2323,110,Broader impact
2339,110,Ethical issues
2339,110,Broader impact
3120,110,Broader impact
894,110,Courses
945,112,Courses
2681,112,Mission
1302,112,Requirements
2416,113,Mission
2926,113,Impact
2400,113,Requirements
1042,114,Courses
674,114,Courses
1651,114,Mission
1139,114,Skills
2359,118,Courses
2806,118,Mission
2505,118,Skills
2812,119,Mission
1161,119,Skills
1822,119,Courses
1338,119,Courses
450,119,Courses
1686,119,Courses
741,119,Courses
727,119,Courses
2566,116,Mission
2025,116,Courses
1755,120,Courses
1716,120,Skills
3275,120,Mission
3275,120,Impact
3275,120,Skills
1412,120,Impact
1574,122,Definition
2441,122,Target group
2441,122,Mission
301,122,Courses
2627,117,Mission
1301,117,Impact
1301,117,Skills
1300,117,Skills
2628,117,Target group
3027,117,Interdisciplinary
2575,117,Impact
2940,117,Target group
1137,117,Skills
1137,117,Impact
1743,117,Courses
1752,117,Law-policy
1654,123,Mission
505,123,Skills
505,123,Skills
3381,123,Impact
3378,123,Impact
3378,123,Skills
949,124,Courses
2441,124,Mission
2726,125,Mission
3064,125,Interdisciplinary
1296,125,Impact
1140,125,Skills
1341,125,Courses
1980,126,Courses
1124,126,Requirements
2663,126,Mission
503,126,Skills
503,126,Impact
3140,126,Mission
2492,126,Skills
548,127,Definition
2694,127,Target group
1811,127,Jobs
1718,127,Skills
995,127,Requirements
2077,127,Requirements
1254,127,Courses
2440,128,Mission
2439,128,Target group
2439,128,Target group
1612,128,Target group
1612,128,Impact
1606,128,Target group
1606,128,Target group
1381,128,Impact
284,128,Skills
2011,128,Tools
2460,128,Requirements
284,128,Skills
1567,128,Courses
1649,129,Skills
298,129,Impact
298,129,Skills
761,129,Courses
762,129,Courses
760,130,Courses
1847,130,Mission
405,130,Skills
