degree_id,degree_level,degree_name,degree_type,degree_url,degree_category,degree_data_sci_flag,department_name,department_type,institution_name,institution_carnegie,institution_state,institution_city
545,masters,Master of Science in Computer Science- Big Data Systems,Data Science,https://cidse.engineering.asu.edu/graduate-computer-science/,Data,FALSE,"School of Computing, Information & Decision Systems Engineering",Interdisciplinary,Arizona State University,R2,AZ,Tempe
546,certificate,M.S. in Statistics and Analytics,Data Analytics,https://catalog.uark.edu/graduatecatalog/programsofstudy/statisticsandanalyticsstan/,Math,FALSE,The Graduate School,Other,University of Arkansas,R1,AR,Fayetteville
548,masters,M.S. in Data Science,Data Science,https://www.albany.edu/graduatebulletin/data_science_ms_degree.php,Data,TRUE,College of Arts & Sciences-Department of Mathematics and Statistics,Mathematics/Statistics,University at Albany,R1,NY,Albany
550,masters,Master of Science in Data Science and Engineering,Data Science,https://www.eng.auburn.edu/comp/academics/graduate/index.html,Data,TRUE,Samuel Ginn College of Engineering,Business/Management,Auburn University,R1,AL,Auburn
552,masters,Master of Science in Biostatistics and Data Science,Data Science,https://www.augusta.edu/mcg/dphs/bds/,Bio,TRUE,Medical College of Georgia Department of Population Health Sciences,Health Informatics,Augusta University,R3,GA,Augusta
555,masters,Master of Science in Applied Data Science,Data Science,https://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/,Data,TRUE,Graduate School,Data Science,Bay Path University,M1,MA,Longmeadow
556,masters,M.S. in Data Science,Data Science,https://www.bellevue.edu/degrees/master/data-science-ms/,Data,TRUE,"Business, Management, and Leadership",Business/Management,Bellevue University,M1,NE,Bellevue
561,masters,M.S. in Business Analytics,Business Analytics,http://www.bu.edu/questrom/degree-programs/ms-in-business-analytics/,Business,FALSE,Questrom School of Business,Business/Management,Boston University,R1,MA,Boston
562,masters,M.S. in Business Analytics,Business Analytics,https://www.brandeis.edu/global/academics/msba/index.html,Business,FALSE,International Business School,Business/Management,Brandeis University,R1,MA,Waltham
564,doctoral,Doctor of Philosophy in Big Data/Data Science/Data-Centric Systems,Data Science,https://www.brown.edu/initiatives/data-science/doctoral-certificate-data-science,Data,TRUE,Computer Science,Computer Science,Brown University,R1,RI,Providence
566,certificate,SAS Data Science Certificate,Data Science,https://www.calu.edu/academics/undergraduate/certificate/sas-data-certificate/index.aspx,Data,TRUE,Graduate Programs,Data Science,California University of Pennsylvania,M1,PA,California
568,masters,Master of Science in Information Technology – Data Science,Data Science,https://catalog.fullerton.edu/preview_program.php?catoid=16&poid=7843&returnto=1926,Data,TRUE,Mihaylo College of Business & Economics,Business/Management,California State University – Fullerton,M1,CA,Fullerton
571,masters,M.S. in Business Analytics,Business Analytics,https://merage.uci.edu/programs/masters/master-science-business-analytics/index.html,Business,FALSE,"University of California,Irvine,Merage School of Business",Business/Management,"University of California, Irvine",R1,CA,Irvine
572,masters,Master of Science in Engineering-Data Science,Data Science,https://engineeringonline.ucr.edu/data-science/,Data,TRUE,Bourns College of Engineering,Engineering (general),"University of California, Riverside",R1,CA,Riverside
573,masters,M.S.E. in Data Science Engineering,Data Science,https://www.msol.ucla.edu/data-science-engineering/,Data,TRUE,"University of California,Los Angeles,Samueli School of Engineering",Engineering (general),"University of California, Los Angeles",R1,CA,Los Angeles
574,masters,M.S. in Data Analytics,Data Analytics,https://www.canisius.edu/academics/programs/data-analytics,Data,FALSE,Data Analytics,Data Science,Canisius College,M1,NY,Buffalo
575,masters,M.S. in Business Analytics,Business Analytics,https://analytics.tepper.cmu.edu/,Business,FALSE,Tepper School of Business,Business/Management,Carnegie Mellon University,R1,PA,Pittsburgh
576,masters,M.S.M. in Business Analytics,Business Analytics,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/,Business,FALSE,Weatherhead School of Management,Business/Management,Case Western Reserve University,R1,OH,Cleveland
577,certificate,Graduate Certificate in SAS Data Mining,Data Mining,https://sciences.ucf.edu/statistics/dms/programs-2/,Data,FALSE,Department of Statistics,Mathematics/Statistics,University of Central Florida,R1,FL,Orlando
578,masters,Master of Science in Data Analytics,Data Analytics,https://www.ucf.edu/degree/data-analytics-ms/,Data,FALSE,College of Engineering & Computer Science,Interdisciplinary,University of Central Florida,R1,FL,Orlando
579,certificate,Graduate Certificate in Data Analytics,Data Analytics,https://business.uc.edu/academics/graduate-certificates/data-analytics.html,Data,FALSE,Carl H. Linder College of Business,Business/Management,University of Cincinnati,R1,OH,Cincinnati
580,doctoral,Doctor of Philosophy in Biostatistics – Big Data,Other,http://med.uc.edu/eh/divisions/bio/programs/phd-biostatistics-big-data-track,Bio,FALSE,College of Medicine – Department of Environmental Health,Health Informatics,University of Cincinnati,R1,OH,Cincinnati
581,masters,M.S. in Data Science,Data Science,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Masters-Programs/Data-Science,Data,TRUE,Department of Mathematics,Mathematics/Statistics,City University of New York,R1,NY,New York
582,masters,M.S. in Data Science and Data Engineering,Data Science,https://www.ccny.cuny.edu/dse,Data,TRUE,"City University of New York,City College of New York,Grove School of Engineering",Engineering (general),City University of New York,R1,NY,New York
584,masters,M.S. in Business Analytics,Business Analytics,https://www.clarku.edu/academics/graduate/programs/masters/business-analytics/,Business,FALSE,Graduate School of Management,Business/Management,Clark University,R2,MA,Worcester
585,masters,Master of Science in Healthcare Data Analytics,Data Analytics,https://www.clarkson.edu/graduate/healthcare-data-analytics,Health,FALSE,School of Business,Business/Management,Clarkson University,R2,NY,Potsdam
586,masters,M.S. in Data Analytics,Data Analytics,https://www.clarkson.edu/graduate/data-analytics,Data,FALSE,"Clarkson University,School of Arts and Sciences,School of Business,and Coulter School of Engineering",Business/Management,Clarkson University,R2,NY,Potsdam
587,masters,Master of Science in Biomedical Data Science and Informatics,Data Science,https://www.clemson.edu/graduate/academics/program-details.html?m_id=joint-BDSI,Bio,TRUE,Graduate School,Other,Clemson University/Medical University of South Carolina,R1,SC,Clemson
589,masters,M.S. in Data Analytics,Data Analytics,https://www.cse.edu/academics/aas/data-analytics,Data,FALSE,School of Arts and Sciences,Interdisciplinary,College of Saint Elizabeth,M2,NJ,Morristown
590,masters,M.S. in Business Analytics,Business Analytics,https://www.strose.edu/business-analytics-ms/,Business,FALSE,Huether School of Business,Business/Management,College of Saint Rose,M1,NY,Albany
591,masters,M.S. in Business Analytics,Business Analytics,https://online.mason.wm.edu/msba,Business,FALSE,Mason School of Business,Business/Management,College of William & Mary,R2,VA,Williamsburg
592,masters,Professional Master of Science in Computer Science-Data Science and Engineering,Data Science,https://www.colorado.edu/cs/current-students/graduate-students/ms-degree/course-based-professional-ms-degree-requirements,Data,TRUE,Computer Science,Computer Science,University of Colorado Boulder,R1,CO,Boulder
594,certificate,Certification of Professional Achievement in Data Science,Data Science,https://datascience.columbia.edu/certification,Data,TRUE,Data Science Institute,Data Science,Columbia University,R1,NY,New York
595,masters,M.S. in Business Analytics,Business Analytics,https://msba.engineering.columbia.edu/,Business,FALSE,Columbia Engineering and Columbia Business School,Interdisciplinary,Columbia University,R1,NY,New York
596,masters,M.S. in Applied Analytics,Other,https://sps.columbia.edu/academics/masters/applied-analytics,Data,FALSE,School of Professional Studies,Other,Columbia University,R1,NY,New York
597,masters,M.Eng. concentration in Data Analytics,Data Analytics,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,Data,FALSE,Cornell University. School of Operations Research & Information Engineering,Interdisciplinary,Cornell University,R1,NY,Ithaca
598,certificate,Advanced Certificate in Business Analytics of Large-Scale Data,Business Analytics,https://csicuny.smartcatalogiq.com/en/current/Graduate-Catalog/Graduate-Programs-Disciplines-and-Offerings-in-Selected-Disciplines/Business-Analytics-of-Large-Scale-Data-Advanced-Certificate,Business,FALSE,School of Business,Business/Management,CUNY College of Staten Island,M1,NY,Staten Island
599,masters,Master of Science in Data Science,Data Science,https://sps.cuny.edu/academics/graduate/master-science-data-science-ms,Data,TRUE,Graduate Programs,Other,CUNY School of Professional Studies,R1,NY,New York
602,masters,Master of Science in Quantitative Biomedical Sciences- Health Data Science,Data Science,https://geiselmed.dartmouth.edu/qbs/,Health,TRUE,Geisel School of Medicine,Health Informatics,Dartmouth College,R1,NH,Dartmouth
603,certificate,Graduate Certificate in Data Analytics,Data Analytics,https://www.davenport.edu/graduate-student/certifications/data-analytics,Data,FALSE,College of Arts & Sciences,Interdisciplinary,Davenport University,M1,MI,Grand Rapids
604,masters,Master of Science in Data Analytics,Data Analytics,https://www.davenport.edu/academics/areas/arts-and-sciences/master-science-data-analytics,Data,FALSE,College of Arts & Sciences,Interdisciplinary,Davenport University,M1,MI,Grand Rapids
